entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,3,2022-01-01 01:00:00,2022-01-01 03:00:00,197.627667348966,202.5262965689837,1,0.02478716308161344,2478.716308161344,2,0.0,2.478716308161344,1.0,2.478716308161344,Sideways,7200.0,1,Saturday,Asia,2022,1,102478.71630816134,2478.716308161344,-0.0
3,126,2022-01-01 03:00:00,2022-01-06 06:00:00,202.5262965689837,206.3139909139136,-1,-0.01870223476702826,-1916.581011018921,123,-9.007214660383411,1.2312118312655551,-1.5190103191101036,0.13669173853275812,Sideways,442800.0,3,Saturday,Asia,2022,1,100562.13529714242,2478.716308161344,1916.581011018921
126,171,2022-01-06 06:00:00,2022-01-08 03:00:00,206.3139909139136,215.6313422860356,1,0.04516102534224031,4541.489140624048,45,-1.3346608447806996,4.516102534224031,1.0,3.3837079673721004,Bearish,162000.0,6,Thursday,Asia,2022,1,105103.62443776647,7020.205448785391,1916.581011018921
171,285,2022-01-08 03:00:00,2022-01-12 21:00:00,215.6313422860356,224.6994183631874,-1,-0.042053608631360095,-4419.986687843286,114,-10.405861785965342,0.3755567561251616,-11.197670643780114,0.03609088452738098,Sideways,410400.0,3,Saturday,Asia,2022,1,100683.63774992319,7020.205448785391,6336.567698862207
285,299,2022-01-12 21:00:00,2022-01-13 11:00:00,224.6994183631874,234.6141189300109,1,0.044124282292525185,4442.593254315956,14,0.0,4.4124282292525185,1.0,4.4124282292525185,Sideways,50400.0,21,Wednesday,Late,2022,1,105126.23100423915,11462.798703101347,6336.567698862207
299,351,2022-01-13 11:00:00,2022-01-15 15:00:00,234.6141189300109,231.7136511446508,-1,0.012362716270393537,1299.6457664812567,52,-5.883368749252171,2.535995523076906,0.4874896725130626,0.4310448029284674,Sideways,187200.0,11,Thursday,London,2022,1,106425.8767707204,12762.444469582604,6336.567698862207
351,363,2022-01-15 15:00:00,2022-01-16 03:00:00,231.7136511446508,241.5154329800399,1,0.04230127049903576,4501.94980137529,12,0.0,4.230127049903576,1.0,4.230127049903576,Sideways,43200.0,15,Saturday,NY_overlap,2022,1,110927.82657209568,17264.394270957895,6336.567698862207
363,452,2022-01-16 03:00:00,2022-01-19 20:00:00,241.5154329800399,239.5958027953019,-1,0.007948271301141396,881.6844604409782,89,-5.923422695328173,3.000295724002422,0.26491626267221186,0.5065138650950517,Sideways,320400.0,3,Sunday,Asia,2022,1,111809.51103253667,18146.078731398873,6336.567698862207
452,463,2022-01-19 20:00:00,2022-01-20 07:00:00,239.5958027953019,251.8859687341478,1,0.05129541417445438,5735.315177057196,11,0.0,5.129541417445438,1.0,5.129541417445438,Bearish,39600.0,20,Wednesday,NY,2022,1,117544.82620959386,23881.39390845607,6336.567698862207
463,720,2022-01-20 07:00:00,2022-01-31 00:00:00,251.8859687341478,305.4836559935609,-1,-0.2127855216738277,-25011.83716506785,257,-29.774466233404873,1.715818311817019,-12.401401722335734,0.05762717283885313,Sideways,925200.0,7,Thursday,Asia,2022,1,92532.98904452601,23881.39390845607,31348.404863930056
720,741,2022-01-31 00:00:00,2022-01-31 21:00:00,305.4836559935609,319.3461634748444,1,0.04537888430134451,4199.043803909127,21,0.0,4.537888430134451,1.0,4.537888430134451,Sideways,75600.0,0,Monday,Asia,2022,1,96732.03284843513,28080.437712365198,31348.404863930056
741,786,2022-01-31 21:00:00,2022-02-02 18:00:00,319.3461634748444,316.2750480643651,-1,0.009616885254114638,930.2608603006489,45,-3.401085506402124,1.4204392592817694,0.6770360077894015,0.41764291330164083,Sideways,162000.0,21,Monday,Late,2022,1,97662.29370873579,29010.698572665846,31348.404863930056
786,788,2022-02-02 18:00:00,2022-02-02 20:00:00,316.2750480643651,322.0988448333314,1,0.018413709221162256,1798.3250782244052,2,0.0,1.8413709221162256,1.0,1.8413709221162256,Sideways,7200.0,18,Wednesday,NY,2022,2,99460.6187869602,30809.023650890253,31348.404863930056
788,800,2022-02-02 20:00:00,2022-02-03 08:00:00,322.0988448333314,310.8075312581663,-1,0.03505543020810187,3486.6347803409094,12,-1.0420123570326734,3.5055430208101868,1.0,3.3642048457015243,Sideways,43200.0,20,Wednesday,NY,2022,2,102947.2535673011,34295.65843123116,31348.404863930056
800,817,2022-02-03 08:00:00,2022-02-04 01:00:00,310.8075312581663,321.0709214504894,1,0.03302169078971895,3399.492374950209,17,-1.6063063831272983,4.599390771673484,0.717957930278319,2.863333433761862,Sideways,61200.0,8,Thursday,London,2022,2,106346.74594225132,37695.15080618137,31348.404863930056
817,854,2022-02-04 01:00:00,2022-02-05 14:00:00,321.0709214504894,312.9652929081953,-1,0.02524560151905253,2684.7875709059936,37,-2.101065375404776,2.524560151905253,1.0,1.2015619225645893,Sideways,133200.0,1,Friday,Asia,2022,2,109031.53351315731,40379.93837708737,31348.404863930056
854,888,2022-02-05 14:00:00,2022-02-07 00:00:00,312.9652929081953,320.4117797210995,1,0.023793331023093778,2594.2233688340953,34,-5.422419626834307,3.1176140273865505,0.7631904018291633,0.5749488682060304,Sideways,122400.0,14,Saturday,NY_overlap,2022,2,111625.7568819914,42974.16174592146,31348.404863930056
888,1039,2022-02-07 00:00:00,2022-02-13 07:00:00,320.4117797210995,347.0297486183931,-1,-0.08307425189068596,-9273.226244703026,151,-14.87615492510994,1.2390053427058123,-6.704914743084444,0.08328801017085775,Sideways,543600.0,0,Monday,Asia,2022,2,102352.53063728838,42974.16174592146,40621.63110863308
1039,1120,2022-02-13 07:00:00,2022-02-16 16:00:00,347.0297486183931,357.2891217247358,1,0.029563382237942637,3025.8869862508914,81,-3.9635037134191586,2.9563382237942637,1.0,0.7458901107585811,Sideways,291600.0,7,Sunday,Asia,2022,2,105378.41762353927,46000.048732172356,40621.63110863308
1120,1203,2022-02-16 16:00:00,2022-02-20 03:00:00,357.2891217247358,356.9610669331921,-1,0.0009181773851946184,96.7560799495278,83,-8.30960489438124,0.09181773851946184,1.0,0.011049591368844366,Sideways,298800.0,16,Wednesday,NY,2022,2,105475.17370348879,46096.80481212188,40621.63110863308
1203,1238,2022-02-20 03:00:00,2022-02-21 14:00:00,356.9610669331921,379.4335572812722,1,0.06295501787113933,6640.191445464663,35,-0.018451201594327227,6.303243834004535,0.9987717360942258,341.61698368427403,Bearish,126000.0,3,Sunday,Asia,2022,2,112115.36514895345,52736.99625758654,40621.63110863308
1238,1299,2022-02-21 14:00:00,2022-02-24 03:00:00,379.4335572812722,378.0943904476178,-1,0.003529384283377235,395.69820768181614,61,-5.507860341328241,2.055700272216665,0.17168768867124262,0.3732302826910323,Sideways,219600.0,14,Monday,NY_overlap,2022,2,112511.06335663528,53132.69446526836,40621.63110863308
1299,1322,2022-02-24 03:00:00,2022-02-25 02:00:00,378.0943904476178,387.0624753780287,1,0.023719169490437952,2668.668981305435,23,-0.14452276823160304,2.3719169490437952,1.0,16.412064189378874,Sideways,82800.0,3,Thursday,Asia,2022,2,115179.7323379407,55801.36344657379,40621.63110863308
1322,1375,2022-02-25 02:00:00,2022-02-27 07:00:00,387.0624753780287,372.5494619035093,-1,0.037495273754824976,4318.695595018554,53,-3.3827117476186386,3.7495273754824976,1.0,1.1084383344581725,Sideways,190800.0,2,Friday,Asia,2022,2,119498.42793295925,60120.05904159234,40621.63110863308
1375,1466,2022-02-27 07:00:00,2022-03-03 02:00:00,372.5494619035093,382.5809449161188,1,0.026926580329373007,3217.684018970619,91,-2.69337339529786,2.9160960892093524,0.9233776770598006,1.0826928395076323,Bearish,327600.0,7,Sunday,Asia,2022,2,122716.11195192988,63337.74306056296,40621.63110863308
1466,1480,2022-03-03 02:00:00,2022-03-03 16:00:00,382.5809449161188,369.0964189367714,-1,0.0352462038649205,4325.277099368128,14,-0.0,3.52462038649205,1.0,3.52462038649205,Sideways,50400.0,2,Thursday,Asia,2022,3,127041.389051298,67663.0201599311,40621.63110863308
1480,1513,2022-03-03 16:00:00,2022-03-05 01:00:00,369.0964189367714,381.6697986846121,1,0.03406529866656505,4327.702861047754,33,-1.2225254279140674,3.4065298666565047,1.0,2.786469539916967,Sideways,118800.0,16,Thursday,NY,2022,3,131369.09191234576,71990.72302097885,40621.63110863308
