symbol,timeframe,bars_count,start_date,end_date,days_span,start_price,end_price,buy_and_hold_return_pct,price_min,price_max,bar_volatility_pct,annualized_volatility_pct,market_regime
ETH,15m,4000,2022-01-01 00:00,2022-02-11 15:45,41.7,2339.046900291222,3001.548843986749,28.32,2001.393058428708,5278.843198993891,1.2275,229.81,Bullish
ETH,1h,4000,2022-01-01 00:00,2022-06-16 15:00,166.6,2303.426006150175,32602.20176924034,1315.38,2289.578272958982,37747.94517285028,1.2287,115.01,Bullish
ETH,2h,4000,2022-01-01 00:00,2022-11-30 06:00,333.2,2325.983279097704,33266.81571292401,1330.23,2174.997953063616,38327.94673944037,1.2316,81.52,Bullish
ETH,30m,4000,2022-01-01 00:00,2022-03-25 07:30,83.3,2343.253238726947,5355.339940819676,128.54,1453.50702880043,6067.156675535511,1.2088,160.02,Bullish
ETH,3h,4000,2022-01-01 00:00,2023-05-15 21:00,499.9,2350.341282244781,6747.697750927868,187.09,1534.200652344902,8482.517910211069,1.2261,66.26,Bullish
ETH,4h,4000,2022-01-01 00:00,2023-10-29 12:00,666.5,2323.73119165687,3454.404474269854,48.66,2323.73119165687,6868.63003601991,1.232,57.66,Bullish
ETH,5m,4000,2022-01-01 00:00,2022-01-14 21:15,13.9,2353.687455000118,2429.204406717866,3.21,931.2561728334025,3315.535423538789,1.2142,393.71,Sideways
GOOGL,15m,4000,2022-01-01 00:00,2022-02-11 15:45,41.7,860.0776536514466,1325.128349050529,54.07,514.2389076270355,2201.567196145624,1.8667,349.47,Bullish
GOOGL,1h,4000,2022-01-01 00:00,2022-06-16 15:00,166.6,851.8942819508809,392.3077890656023,-53.95,307.4057189082058,1993.956121651262,1.8061,169.06,Bearish
GOOGL,2h,4000,2022-01-01 00:00,2022-11-30 06:00,333.2,874.5860282928031,1462.677735086622,67.24,728.2411263017084,4040.564698337996,1.8313,121.21,Bullish
GOOGL,30m,4000,2022-01-01 00:00,2022-03-25 07:30,83.3,829.375524150457,1630.269420507635,96.57,485.3223449082042,1960.296347143089,1.8613,246.4,Bullish
GOOGL,3h,4000,2022-01-01 00:00,2023-05-15 21:00,499.9,840.2792273826961,792.5524025042685,-5.68,499.6778957110512,1745.507057505407,1.8538,100.19,Sideways
GOOGL,4h,4000,2022-01-01 00:00,2023-10-29 12:00,666.5,846.5335977670962,2691.598174361314,217.96,564.5517203892239,5024.282109862967,1.8104,84.73,Bullish
GOOGL,5m,4000,2022-01-01 00:00,2022-01-14 21:15,13.9,839.3778133836242,1488.575005399645,77.34,407.4849867454556,1588.636696841043,1.8507,600.1,Bullish
NVDA,15m,4000,2022-01-01 00:00,2022-02-11 15:45,41.7,1204.591681096676,2029.332187013906,68.47,1158.330114147424,5932.300693458783,1.4687,274.96,Bullish
NVDA,1h,4000,2022-01-01 00:00,2022-06-16 15:00,166.6,1177.574627487312,368.7296328642428,-68.69,346.9283164124995,1314.824087929268,1.4466,135.41,Bearish
NVDA,2h,4000,2022-01-01 00:00,2022-11-30 06:00,333.2,1217.803020564375,5148.310875141662,322.75,1065.214742361978,5148.310875141662,1.4625,96.8,Bullish
NVDA,30m,4000,2022-01-01 00:00,2022-03-25 07:30,83.3,1221.676811594166,1610.108469446144,31.79,679.2680609360355,2126.767806809457,1.4641,193.81,Bullish
NVDA,3h,4000,2022-01-01 00:00,2023-05-15 21:00,499.9,1205.623230123102,1228.532076936701,1.9,1068.292971958739,3357.817374530864,1.4781,79.88,Sideways
NVDA,4h,4000,2022-01-01 00:00,2023-10-29 12:00,666.5,1231.02925059073,5331.139343373777,333.06,820.7046078663346,5400.368285889414,1.457,68.19,Bullish
NVDA,5m,4000,2022-01-01 00:00,2022-01-14 21:15,13.9,1227.164444961918,3853.978783847617,214.06,991.9167727597616,4000.821007166689,1.4517,470.74,Bullish
OIL,15m,4000,2022-01-01 00:00,2022-02-11 15:45,41.7,1890.584966279799,2233.893920291485,18.16,1739.334220952814,3034.891230935755,1.0167,190.34,Bullish
OIL,1h,4000,2022-01-01 00:00,2022-06-16 15:00,166.6,1862.905231530668,7308.001311033696,292.29,1862.905231530668,8923.360471081256,1.0107,94.61,Bullish
OIL,2h,4000,2022-01-01 00:00,2022-11-30 06:00,333.2,1908.028323939451,6747.355914127254,253.63,1886.078224219742,10644.36280895169,0.9942,65.81,Bullish
OIL,30m,4000,2022-01-01 00:00,2022-03-25 07:30,83.3,1916.202859179438,2837.21835783039,48.06,1222.95351504184,3318.427500187952,0.9996,132.32,Bullish
OIL,3h,4000,2022-01-01 00:00,2023-05-15 21:00,499.9,1881.773937197099,8013.907486640843,325.87,1839.821965101195,9212.132885521243,1.0047,54.3,Bullish
OIL,4h,4000,2022-01-01 00:00,2023-10-29 12:00,666.5,1903.202859647473,6672.146732064852,250.57,1903.202859647473,7732.160825788765,1.0183,47.66,Bullish
OIL,5m,4000,2022-01-01 00:00,2022-01-14 21:15,13.9,1877.946185501115,10475.53973122611,457.82,1297.314366457423,10475.53973122611,1.002,324.93,Bullish
SOL,15m,4000,2022-01-01 00:00,2022-02-11 15:45,41.7,2589.414129132369,797.5941278245361,-69.2,550.6109447251483,2752.553981053014,1.2609,236.05,Bearish
SOL,1h,4000,2022-01-01 00:00,2022-06-16 15:00,166.6,2665.572646064997,2504.679167433307,-6.04,968.2135300144423,2752.260992664743,1.2615,118.09,Sideways
SOL,2h,4000,2022-01-01 00:00,2022-11-30 06:00,333.2,2563.486910523496,7195.960475438565,180.71,2448.885228070407,11758.02824113302,1.2656,83.77,Bullish
SOL,30m,4000,2022-01-01 00:00,2022-03-25 07:30,83.3,2547.97247793466,973.8614435942534,-61.78,648.7598007774577,2920.936225409226,1.2487,165.3,Bearish
SOL,3h,4000,2022-01-01 00:00,2023-05-15 21:00,499.9,2586.300685074906,2646.140130905957,2.31,1026.117158485528,3186.17871178686,1.2588,68.03,Sideways
SOL,4h,4000,2022-01-01 00:00,2023-10-29 12:00,666.5,2623.565445749971,732.8186591503038,-72.07,483.0246617744092,3362.583745603255,1.2866,60.22,Bearish
SOL,5m,4000,2022-01-01 00:00,2022-01-14 21:15,13.9,2570.005851168419,2212.79257909693,-13.9,944.0942874800904,3572.131929029988,1.2468,404.3,Bearish
TSLA,15m,4000,2022-01-01 00:00,2022-02-11 15:45,41.7,361.9310925027547,50.76723919601891,-85.97,49.6475088470638,427.3815085053945,1.0466,195.94,Bearish
TSLA,1h,4000,2022-01-01 00:00,2022-06-16 15:00,166.6,365.4928864064814,650.2252414348617,77.9,309.7913198501193,850.7536316693484,1.0685,100.02,Bullish
TSLA,2h,4000,2022-01-01 00:00,2022-11-30 06:00,333.2,366.8980399646661,621.9482179910854,69.52,308.1275400424883,799.2648715732955,1.0685,70.73,Bullish
TSLA,30m,4000,2022-01-01 00:00,2022-03-25 07:30,83.3,368.2553078411186,237.9846423477235,-35.38,237.9846423477235,502.3522340009341,1.0562,139.82,Bearish
TSLA,3h,4000,2022-01-01 00:00,2023-05-15 21:00,499.9,364.9904418542502,296.5735341687434,-18.74,150.0538403815379,475.0192795999289,1.057,57.13,Bearish
TSLA,4h,4000,2022-01-01 00:00,2023-10-29 12:00,666.5,367.304515054418,192.1938136342615,-47.67,190.6885203414201,430.2642603672073,1.0485,49.07,Bearish
TSLA,5m,4000,2022-01-01 00:00,2022-01-14 21:15,13.9,368.5259622602604,628.8405942553351,70.64,196.4315875677112,635.4684354683877,1.0783,349.65,Bullish
XAG,15m,4000,2022-01-01 00:00,2022-02-11 15:45,41.7,549.3774550869039,3038.237850945039,453.03,463.9699557169746,3108.261480340774,1.396,261.34,Bullish
XAG,1h,4000,2022-01-01 00:00,2022-06-16 15:00,166.6,545.1465782934176,718.3138064313536,31.77,405.9881925788817,1251.624406261896,1.3808,129.25,Bullish
XAG,2h,4000,2022-01-01 00:00,2022-11-30 06:00,333.2,560.5564621456798,709.7606258637761,26.62,313.3670304498514,1169.864286629113,1.3902,92.02,Bullish
