entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,2,2022-01-01 01:00:00,2022-01-01 02:00:00,1444.7695467244,1411.250321009929,-1,0.023200396070408802,2320.03960704088,1,-0.0,2.32003960704088,1.0,2.32003960704088,Sideways,3600.0,1,Saturday,Asia,2022,1,102320.03960704088,2320.03960704088,-0.0
2,5,2022-01-01 02:00:00,2022-01-01 05:00:00,1411.250321009929,1489.129242642501,1,0.0551843429001595,5646.464151232845,3,-1.162912600642696,5.51843429001595,1.0,4.745356002648977,Sideways,10800.0,2,Saturday,Asia,2022,1,107966.50375827373,7966.503758273726,-0.0
5,15,2022-01-01 05:00:00,2022-01-01 15:00:00,1489.129242642501,1433.494032614152,-1,0.03736090087763144,4033.725845017287,10,-0.33046139338293035,4.868284599245964,0.767434608967154,14.731780161698703,Bullish,36000.0,5,Saturday,Asia,2022,1,112000.22960329101,12000.229603291013,-0.0
15,17,2022-01-01 15:00:00,2022-01-01 17:00:00,1433.494032614152,1474.974068614903,1,0.028936315782987165,3240.874011567896,2,0.0,2.8936315782987165,1.0,2.8936315782987165,Sideways,7200.0,15,Saturday,NY_overlap,2022,1,115241.1036148589,15241.103614858908,-0.0
17,21,2022-01-01 17:00:00,2022-01-01 21:00:00,1474.974068614903,1419.375966777412,-1,0.037694291052656426,4343.931700887828,4,-0.9942843743844909,3.7694291052656426,1.0,3.7910975998180576,Sideways,14400.0,17,Saturday,NY,2022,1,119585.03531574673,19585.035315746736,-0.0
21,25,2022-01-01 21:00:00,2022-01-02 01:00:00,1419.375966777412,1491.906720782258,1,0.051100452383677775,6110.849402952741,4,0.0,5.1100452383677775,1.0,5.1100452383677775,Sideways,14400.0,21,Saturday,Late,2022,1,125695.88471869947,25695.884718699475,-0.0
25,28,2022-01-02 01:00:00,2022-01-02 04:00:00,1491.906720782258,1411.175278484795,-1,0.05411292889352537,6801.772471991746,3,-0.0,5.411292889352537,1.0,5.411292889352537,Bullish,10800.0,1,Sunday,Asia,2022,1,132497.6571906912,32497.65719069122,-0.0
28,45,2022-01-02 04:00:00,2022-01-02 21:00:00,1411.175278484795,1451.796311209854,1,0.028785249674069258,3813.9781434632846,17,-1.7934045579728886,2.8785249674069258,1.0,1.6050616993304425,Sideways,61200.0,4,Sunday,Asia,2022,1,136311.6353341545,36311.635334154504,-0.0
45,56,2022-01-02 21:00:00,2022-01-03 08:00:00,1451.796311209854,1408.46395364383,-1,0.02984740850451173,4068.5490637365447,11,-4.147212292289804,2.984740850451173,1.0,0.7196981104633073,Sideways,39600.0,21,Sunday,Late,2022,1,140380.18439789105,40380.18439789105,-0.0
56,65,2022-01-03 08:00:00,2022-01-03 17:00:00,1408.46395364383,1486.501047651328,1,0.05540581553798973,7777.878601938536,9,-0.42311550476819004,5.540581553798973,1.0,13.094725887756018,Sideways,32400.0,8,Monday,London,2022,1,148158.0629998296,48158.062999829584,-0.0
65,74,2022-01-03 17:00:00,2022-01-04 02:00:00,1486.501047651328,1408.666866835112,-1,0.05236066327648681,7757.654448430596,9,-0.2510344048972657,5.236066327648681,1.0,20.857962994321472,Bullish,32400.0,17,Monday,NY,2022,1,155915.71744826017,55915.717448260184,-0.0
74,80,2022-01-04 02:00:00,2022-01-04 08:00:00,1408.666866835112,1468.225183941778,1,0.04227991621644178,6592.103470538851,6,-0.684246599018512,4.227991621644178,1.0,6.179046600609836,Bearish,21600.0,2,Tuesday,Asia,2022,1,162507.82091879903,62507.820918799036,-0.0
80,103,2022-01-04 08:00:00,2022-01-05 07:00:00,1468.225183941778,1472.100509721418,-1,-0.0026394628167565326,-428.9333507472995,23,-4.450780422289724,1.5990485590277714,-0.16506458180115166,0.3592737469185536,Bullish,82800.0,8,Tuesday,London,2022,1,162078.88756805175,62507.820918799036,428.9333507472995
103,141,2022-01-05 07:00:00,2022-01-06 21:00:00,1472.100509721418,1307.643125245775,1,-0.11171613853103346,-18106.827456508265,38,-20.02398293786237,0.0,0.0,0.0,Sideways,136800.0,7,Wednesday,Asia,2022,1,143972.06011154345,62507.820918799036,18535.760807255563
141,160,2022-01-06 21:00:00,2022-01-07 16:00:00,1307.643125245775,1238.915481253373,-1,0.05255841036864284,7566.942616961417,19,-0.8607132565823461,5.255841036864284,1.0,6.106378630362652,Bearish,68400.0,21,Thursday,Late,2022,1,151539.0027285049,70074.76353576046,18535.760807255563
160,178,2022-01-07 16:00:00,2022-01-08 10:00:00,1238.915481253373,1250.296623304849,1,0.009186374876809289,1392.0940875218719,18,-4.735680123534025,2.7301652316827907,0.33647688316458,0.5765096375735342,Bearish,64800.0,16,Friday,NY,2022,1,152931.09681602675,71466.85762328233,18535.760807255563
178,227,2022-01-08 10:00:00,2022-01-10 11:00:00,1250.296623304849,1361.739893860038,-1,-0.08913346519373655,-13631.278595091277,49,-14.391238091806846,-0.0,0.0,-0.0,Sideways,176400.0,10,Saturday,London,2022,1,139299.81822093547,71466.85762328233,32167.03940234684
227,250,2022-01-10 11:00:00,2022-01-11 10:00:00,1361.739893860038,1370.519362023226,1,0.006447243120932145,898.0997947720247,23,-4.403443436158749,0.6447243120932145,1.0,0.14641366953849783,Bullish,82800.0,11,Monday,London,2022,1,140197.91801570752,72364.95741805436,32167.03940234684
250,259,2022-01-11 10:00:00,2022-01-11 19:00:00,1370.519362023226,1281.017824862156,-1,0.06530483234395434,9155.601530987236,9,-2.380610238536285,6.530483234395435,1.0,2.7431971553691605,Bullish,32400.0,10,Tuesday,London,2022,1,149353.51954669476,81520.55894904159,32167.03940234684
259,265,2022-01-11 19:00:00,2022-01-12 01:00:00,1281.017824862156,1441.243122956633,1,0.12507655630140668,18680.62389639541,6,-0.8059292254595896,12.507655630140668,1.0,15.519545929120572,Bearish,21600.0,19,Tuesday,NY,2022,1,168034.14344309014,100201.182845437,32167.03940234684
265,309,2022-01-12 01:00:00,2022-01-13 21:00:00,1441.243122956633,1480.662128150233,-1,-0.027350697856399098,-4595.8510868707845,44,-8.722797793884475,-0.0,0.0,-0.0,Bullish,158400.0,1,Wednesday,Asia,2022,1,163438.29235621938,100201.182845437,36762.89048921762
